,TREE_NUMBER,DESCRIPTOR
8481,C01.252.410.040.246.430,Erythrasma
8482,C01.252.410.040.552,Mycobacterium Infections
8483,C01.252.410.040.552.386,Leprosy
8484,C01.252.410.040.552.386.775,"Leprosy, Multibacillary"
8485,C01.252.410.040.552.386.775.500,"Leprosy, Lepromatous"
8486,C01.252.410.040.552.386.850,"Leprosy, Paucibacillary"
8487,C01.252.410.040.552.386.850.249,"Leprosy, Borderline"
8488,C01.252.410.040.552.386.850.500,"Leprosy, Tuberculoid"
8489,C01.252.410.040.552.475,"Mycobacterium Infections, Nontuberculous"
8490,C01.252.410.040.552.475.247,Buruli Ulcer
8491,C01.252.410.040.552.475.495,Mycobacterium avium-intracellulare Infection
8492,C01.252.410.040.552.588,Paratuberculosis
8493,C01.252.410.040.552.846,Tuberculosis
8494,C01.252.410.040.552.846.122,Latent Tuberculosis
8495,C01.252.410.040.552.846.246,"Peritonitis, Tuberculous"
8496,C01.252.410.040.552.846.493,Tuberculoma
8497,C01.252.410.040.552.846.493.400,"Tuberculoma, Intracranial"
8498,C01.252.410.040.552.846.516,"Tuberculosis, Avian"
8499,C01.252.410.040.552.846.538,"Tuberculosis, Bovine"
8500,C01.252.410.040.552.846.561,"Tuberculosis, Cardiovascular"
8501,C01.252.410.040.552.846.561.595,"Pericarditis, Tuberculous"
8502,C01.252.410.040.552.846.570,"Tuberculosis, Central Nervous System"
8503,C01.252.410.040.552.846.570.300,"Tuberculoma, Intracranial"
8504,C01.252.410.040.552.846.570.600,"Tuberculosis, Meningeal"
8505,C01.252.410.040.552.846.583,"Tuberculosis, Cutaneous"
8506,C01.252.410.040.552.846.583.260,Erythema Induratum
8507,C01.252.410.040.552.846.583.470,Lupus Vulgaris
8508,C01.252.410.040.552.846.606,"Tuberculosis, Endocrine"
8509,C01.252.410.040.552.846.628,"Tuberculosis, Gastrointestinal"
8510,C01.252.410.040.552.846.651,"Tuberculosis, Hepatic"
8511,C01.252.410.040.552.846.696,"Tuberculosis, Laryngeal"
8512,C01.252.410.040.552.846.719,"Tuberculosis, Lymph Node"
8513,C01.252.410.040.552.846.719.500,King's Evil
8514,C01.252.410.040.552.846.764,"Tuberculosis, Miliary"
8515,C01.252.410.040.552.846.775,"Tuberculosis, Multidrug-Resistant"
8516,C01.252.410.040.552.846.775.500,Extensively Drug-Resistant Tuberculosis
8517,C01.252.410.040.552.846.786,"Tuberculosis, Ocular"
8518,C01.252.410.040.552.846.809,"Tuberculosis, Oral"
8519,C01.252.410.040.552.846.831,"Tuberculosis, Osteoarticular"
8520,C01.252.410.040.552.846.831.722,"Tuberculosis, Spinal"
8521,C01.252.410.040.552.846.877,"Tuberculosis, Pleural"
8522,C01.252.410.040.552.846.877.405,"Empyema, Tuberculous"
8523,C01.252.410.040.552.846.899,"Tuberculosis, Pulmonary"
8524,C01.252.410.040.552.846.899.669,Silicotuberculosis
8525,C01.252.410.040.552.846.922,"Tuberculosis, Splenic"
8526,C01.252.410.040.552.846.944,"Tuberculosis, Urogenital"
8527,C01.252.410.040.552.846.944.596,"Tuberculosis, Female Genital"
8528,C01.252.410.040.552.846.944.721,"Tuberculosis, Male Genital"
8529,C01.252.410.040.552.846.944.847,"Tuberculosis, Renal"
8530,C01.252.410.040.692,Nocardia Infections
8531,C01.252.410.040.692.606,Mycetoma
8532,C01.252.410.090,Bacillaceae Infections
8533,C01.252.410.090.072,Anthrax
8534,C01.252.410.110,Bifidobacteriales Infections
8535,C01.252.410.222,Clostridium Infections
8536,C01.252.410.222.151,Botulism
8537,C01.252.410.222.310,"Enterocolitis, Pseudomembranous"
8538,C01.252.410.222.325,Enterotoxemia
8539,C01.252.410.222.440,Gas Gangrene
8540,C01.252.410.222.864,Tetanus
8541,C01.252.410.334,Erysipelothrix Infections
8542,C01.252.410.334.329,Erysipeloid
8543,C01.252.410.334.776,Swine Erysipelas
8544,C01.252.410.514,Listeriosis
8545,C01.252.410.514.533,"Meningitis, Listeria"
8546,C01.252.410.868,Staphylococcal Infections
8547,C01.252.410.868.675,"Pneumonia, Staphylococcal"
8548,C01.252.410.868.806,Staphylococcal Food Poisoning
8549,C01.252.410.868.820,Staphylococcal Skin Infections
8550,C01.252.410.868.820.270,Furunculosis
8551,C01.252.410.868.820.270.200,Carbuncle
8552,C01.252.410.868.820.504,Impetigo
8553,C01.252.410.868.820.770,Staphylococcal Scalded Skin Syndrome
8554,C01.252.410.890,Streptococcal Infections
8555,C01.252.410.890.210,Ecthyma
8556,C01.252.410.890.240,"Endocarditis, Subacute Bacterial"
8557,C01.252.410.890.328,Erysipelas
8558,C01.252.410.890.485,Impetigo
8559,C01.252.410.890.670,Pneumococcal Infections
8560,C01.252.410.890.670.595,"Meningitis, Pneumococcal"
8561,C01.252.410.890.670.750,"Pneumonia, Pneumococcal"
8562,C01.252.410.890.731,Rheumatic Fever
8563,C01.252.410.890.731.649,Rheumatic Heart Disease
8564,C01.252.410.890.823,Scarlet Fever
8565,C01.252.620,"Pneumonia, Bacterial"
8566,C01.252.620.249,Chlamydial Pneumonia
8567,C01.252.620.300,"Pneumonia of Calves, Enzootic"
8568,C01.252.620.330,"Pneumonia of Swine, Mycoplasmal"
8569,C01.252.620.500,"Pneumonia, Mycoplasma"
8570,C01.252.620.550,"Pneumonia, Pneumococcal"
8571,C01.252.620.600,"Pneumonia, Rickettsial"
8572,C01.252.620.620,"Pneumonia, Staphylococcal"
8573,C01.252.810,"Sexually Transmitted Diseases, Bacterial"
8574,C01.252.810.201,Chancroid
8575,C01.252.810.301,Chlamydia Infections
8576,C01.252.810.301.490,Lymphogranuloma Venereum
8577,C01.252.810.401,Gonorrhea
8578,C01.252.810.451,Granuloma Inguinale
8579,C01.252.810.859,Syphilis
8580,C01.252.825,"Skin Diseases, Bacterial"
8581,C01.252.825.110,"Actinomycosis, Cervicofacial"
8582,C01.252.825.150,"Angiomatosis, Bacillary"
8583,C01.252.825.180,Digital Dermatitis
8584,C01.252.825.210,Ecthyma
8585,C01.252.825.260,Erysipelas
8586,C01.252.825.310,Erythema Chronicum Migrans
8587,C01.252.825.320,Erythrasma
8588,C01.252.825.340,"Fasciitis, Necrotizing"
8589,C01.252.825.360,Granuloma Inguinale
8590,C01.252.825.420,Hidradenitis Suppurativa
8591,C01.252.825.557,Mycetoma
8592,C01.252.825.630,Pinta
8593,C01.252.825.705,Rhinoscleroma
8594,C01.252.825.770,Staphylococcal Skin Infections
8595,C01.252.825.770.270,Furunculosis
8596,C01.252.825.770.270.200,Carbuncle
8597,C01.252.825.770.360,Impetigo
8598,C01.252.825.770.770,Staphylococcal Scalded Skin Syndrome
8599,C01.252.825.790,"Syphilis, Cutaneous"
8600,C01.252.825.820,"Tuberculosis, Cutaneous"
8601,C01.252.825.820.260,Erythema Induratum
8602,C01.252.825.820.470,Lupus Vulgaris
8603,C01.252.825.910,Yaws
8604,C01.252.847,Spirochaetales Infections
8605,C01.252.847.193,Borrelia Infections
8606,C01.252.847.193.569,Lyme Disease
8607,C01.252.847.193.569.200,Erythema Chronicum Migrans
8608,C01.252.847.193.569.600,Lyme Neuroborreliosis
8609,C01.252.847.193.569.800,Post-Lyme Disease Syndrome
8610,C01.252.847.193.644,Relapsing Fever
8611,C01.252.847.511,Leptospirosis
8612,C01.252.847.511.739,Weil Disease
8613,C01.252.847.840,Treponemal Infections
8614,C01.252.847.840.558,Pinta
8615,C01.252.847.840.744,Syphilis
8616,C01.252.847.840.744.161,Chancre
8617,C01.252.847.840.744.456,Neurosyphilis
8618,C01.252.847.840.744.456.778,Tabes Dorsalis
8619,C01.252.847.840.744.657,"Syphilis, Cardiovascular"
8620,C01.252.847.840.744.725,"Syphilis, Congenital"
8621,C01.252.847.840.744.800,"Syphilis, Cutaneous"
8622,C01.252.847.840.744.871,"Syphilis, Latent"
8623,C01.252.847.840.892,Yaws
8624,C01.252.954,"Vaginosis, Bacterial"
8625,C01.395,Central Nervous System Infections
8626,C01.395.250,Brain Abscess
8627,C01.395.250.500,"Toxoplasmosis, Cerebral"
8628,C01.395.500,Central Nervous System Bacterial Infections
8629,C01.539,Infection
8630,C01.539.069,"Aneurysm, Infected"
8631,C01.539.100,"Arthritis, Infectious"
8632,C01.539.100.500,"Arthritis, Reactive"
8633,C01.539.160,"Bone Diseases, Infectious"
8634,C01.539.160.495,Osteomyelitis
8635,C01.539.160.495.500,Mastoiditis
8636,C01.539.160.495.750,Petrositis
8637,C01.539.160.495.875,Pott Puffy Tumor
8638,C01.539.160.595,Periostitis
8639,C01.539.160.762,Spondylitis
8640,C01.539.160.762.301,Discitis
8641,C01.539.160.886,"Tuberculosis, Osteoarticular"
8642,C01.539.160.886.722,"Tuberculosis, Spinal"
8643,C01.539.190,Cardiovascular Infections
8644,C01.539.190.249,"Endocarditis, Bacterial"
8645,C01.539.190.249.407,"Endocarditis, Subacute Bacterial"
8646,C01.539.190.500,"Syphilis, Cardiovascular"
8647,C01.539.190.750,"Tuberculosis, Cardiovascular"
8648,C01.539.190.750.595,"Pericarditis, Tuberculous"
8649,C01.539.195,Catheter-Related Infections
8650,C01.539.218,Coinfection
8651,C01.539.221,Communicable Diseases
8652,C01.539.221.500,"Communicable Diseases, Emerging"
8653,C01.539.221.625,"Communicable Diseases, Imported"
8654,C01.539.221.750,Waterborne Diseases
8655,C01.539.234,Community-Acquired Infections
8656,C01.539.248,Cross Infection
8657,C01.539.248.250,Healthcare-Associated Pneumonia
8658,C01.539.248.500,"Pneumonia, Ventilator-Associated"
8659,C01.539.375,Eye Infections
8660,C01.539.375.177,Corneal Ulcer
8661,C01.539.375.265,Endophthalmitis
8662,C01.539.375.265.500,"Uveitis, Suppurative"
8663,C01.539.375.354,"Eye Infections, Bacterial"
8664,C01.539.375.354.220,"Conjunctivitis, Bacterial"
8665,C01.539.375.354.220.250,"Conjunctivitis, Inclusion"
8666,C01.539.375.354.220.625,Ophthalmia Neonatorum
8667,C01.539.375.354.220.800,Trachoma
8668,C01.539.375.354.400,Hordeolum
8669,C01.539.375.354.450,"Keratoconjunctivitis, Infectious"
8670,C01.539.375.354.800,"Tuberculosis, Ocular"
8671,C01.539.375.354.900,"Uveitis, Suppurative"
8672,C01.539.375.354.900.675,Panophthalmitis
8673,C01.539.375.450,"Eye Infections, Fungal"
8674,C01.539.375.450.900,"Uveitis, Suppurative"
8675,C01.539.375.450.900.675,Panophthalmitis
8676,C01.539.392,Focal Infection
8677,C01.539.392.433,"Focal Infection, Dental"
8678,C01.539.424,"Gingivitis, Necrotizing Ulcerative"
8679,C01.539.463,Intraabdominal Infections
8680,C01.539.463.099,Appendicitis
8681,C01.539.463.199,Diverticular Diseases
8682,C01.539.463.199.375,Diverticulitis
8683,C01.539.463.199.375.250,"Diverticulitis, Colonic"
8684,C01.539.463.199.375.625,"Diverticulosis, Stomach"
8685,C01.539.463.199.750,Diverticulum
8686,C01.539.463.199.750.500,"Diverticulum, Colon"
8687,C01.539.463.199.750.687,"Diverticulum, Stomach"
8688,C01.539.463.199.750.750,Meckel Diverticulum
8689,C01.539.463.600,Peritonitis
8690,C01.539.463.600.249,"Peritonitis, Tuberculous"
8691,C01.539.463.600.500,Subphrenic Abscess
8692,C01.539.463.850,Typhlitis
8693,C01.539.503,Laboratory Infection
8694,C01.539.535,Ludwig's Angina
8695,C01.539.597,Opportunistic Infections
8696,C01.539.597.050,AIDS-Related Opportunistic Infections
8697,C01.539.597.880,Superinfection
8698,C01.539.635,Pelvic Infection
8699,C01.539.635.500,Pelvic Inflammatory Disease
8700,C01.539.674,"Pregnancy Complications, Infectious"
8701,C01.539.674.173,"Abortion, Septic"
8702,C01.539.674.715,Puerperal Infection
8703,C01.539.685,Prosthesis-Related Infections
8704,C01.539.730,Reproductive Tract Infections
8705,C01.539.739,Respiratory Tract Infections
8706,C01.539.739.484,"Empyema, Pleural"
8707,C01.539.739.484.320,"Empyema, Tuberculous"
8708,C01.539.739.969,Whooping Cough
8709,C01.539.757,Sepsis
8710,C01.539.757.100,Bacteremia
8711,C01.539.757.100.275,Endotoxemia
8712,C01.539.757.100.375,Hemorrhagic Septicemia
8713,C01.539.757.360,Fungemia
8714,C01.539.757.360.150,Candidemia
8715,C01.539.757.580,Neonatal Sepsis
8716,C01.539.757.800,"Shock, Septic"
8717,C01.539.778,Sexually Transmitted Diseases
8718,C01.539.778.281,"Sexually Transmitted Diseases, Bacterial"
8719,C01.539.778.281.201,Chancroid
8720,C01.539.778.281.301,Chlamydia Infections
8721,C01.539.778.281.301.490,Lymphogranuloma Venereum
8722,C01.539.778.281.401,Gonorrhea
8723,C01.539.778.281.451,Granuloma Inguinale
8724,C01.539.778.281.859,Syphilis
8725,C01.539.800,"Skin Diseases, Infectious"
8726,C01.539.800.130,Cellulitis
8727,C01.539.800.200,Dermatomycoses
8728,C01.539.800.200.055,Blastomycosis
8729,C01.539.800.200.100,"Candidiasis, Chronic Mucocutaneous"
8730,C01.539.800.200.105,"Candidiasis, Cutaneous"
8731,C01.539.800.200.110,Chromoblastomycosis
8732,C01.539.800.200.383,Hyalohyphomycosis
8733,C01.539.800.200.383.125,Alternariosis
8734,C01.539.800.200.383.375,Cerebral Phaeohyphomycosis
8735,C01.539.800.200.383.500,Fusariosis
8736,C01.539.800.200.475,Lobomycosis
8737,C01.539.800.200.500,Mycetoma
8738,C01.539.800.200.675,Sporotrichosis
8739,C01.539.800.200.720,Tinea
8740,C01.539.800.200.720.550,Onychomycosis
8741,C01.539.800.200.720.730,Tinea Capitis
8742,C01.539.800.200.720.730.740,Tinea Favosa
8743,C01.539.800.200.720.760,Tinea Pedis
8744,C01.539.800.200.860,Tinea Versicolor
8745,C01.539.800.460,Paronychia
8746,C01.539.800.720,"Skin Diseases, Bacterial"
8747,C01.539.800.720.110,"Actinomycosis, Cervicofacial"
8748,C01.539.800.720.150,"Angiomatosis, Bacillary"
8749,C01.539.800.720.180,Digital Dermatitis
8750,C01.539.800.720.210,Ecthyma
8751,C01.539.800.720.260,Erysipelas
8752,C01.539.800.720.310,Erythema Chronicum Migrans
8753,C01.539.800.720.320,Erythrasma
8754,C01.539.800.720.360,Granuloma Inguinale
8755,C01.539.800.720.420,Hidradenitis Suppurativa
8756,C01.539.800.720.557,Mycetoma
8757,C01.539.800.720.630,Pinta
8758,C01.539.800.720.705,Rhinoscleroma
8759,C01.539.800.720.770,Staphylococcal Skin Infections
8760,C01.539.800.720.770.270,Furunculosis
8761,C01.539.800.720.770.270.200,Carbuncle
8762,C01.539.800.720.770.360,Impetigo
8763,C01.539.800.720.770.770,Staphylococcal Scalded Skin Syndrome
8764,C01.539.800.720.790,"Syphilis, Cutaneous"
8765,C01.539.800.720.820,"Tuberculosis, Cutaneous"
8766,C01.539.800.720.820.260,Erythema Induratum
8767,C01.539.800.720.820.470,Lupus Vulgaris
8768,C01.539.800.720.910,Yaws
8769,C01.539.820,Soft Tissue Infections
8770,C01.539.830,Suppuration
8771,C01.539.830.025,Abscess
8772,C01.539.830.025.020,Abdominal Abscess
8773,C01.539.830.025.020.455,Liver Abscess
8774,C01.539.830.025.020.455.460,"Liver Abscess, Amebic"
8775,C01.539.830.025.020.455.730,"Liver Abscess, Pyogenic"
8776,C01.539.830.025.020.810,Subphrenic Abscess
8777,C01.539.830.025.160,Brain Abscess
8778,C01.539.830.025.160.800,"Toxoplasmosis, Cerebral"
8779,C01.539.830.025.325,Epidural Abscess
8780,C01.539.830.025.490,Lung Abscess
8781,C01.539.830.025.650,Periapical Abscess
8782,C01.539.830.025.665,Periodontal Abscess
8783,C01.539.830.025.675,Peritonsillar Abscess
8784,C01.539.830.025.700,Psoas Abscess
8785,C01.539.830.025.780,Retropharyngeal Abscess
8786,C01.539.830.200,Cellulitis
8787,C01.539.830.305,Empyema
8788,C01.539.830.305.310,"Empyema, Pleural"
8789,C01.539.830.305.310.320,"Empyema, Tuberculous"
8790,C01.539.830.305.330,"Empyema, Subdural"
8791,C01.539.830.499,Hidradenitis Suppurativa
8792,C01.539.830.694,"Otitis Media, Suppurative"
8793,C01.539.830.767,Pyomyositis
8794,C01.539.830.840,"Thyroiditis, Suppurative"
8795,C01.539.830.900,"Uveitis, Suppurative"
8796,C01.539.861,Toxemia
8797,C01.539.861.375,Endotoxemia
8798,C01.539.895,Urinary Tract Infections
8799,C01.539.895.219,Bacteriuria
8800,C01.539.895.719,Pyuria
8801,C01.539.895.775,Schistosomiasis haematobia
8802,C01.539.947,Wound Infection
8803,C01.539.947.692,Surgical Wound Infection
8804,C01.703,Mycoses
8805,C01.703.080,Aspergillosis
8806,C01.703.080.537,Neuroaspergillosis
8807,C01.703.080.768,Pulmonary Aspergillosis
8808,C01.703.080.768.500,"Aspergillosis, Allergic Bronchopulmonary"
8809,C01.703.080.768.750,Invasive Pulmonary Aspergillosis
8810,C01.703.160,Candidiasis
8811,C01.703.160.165,"Candidiasis, Chronic Mucocutaneous"
8812,C01.703.160.170,"Candidiasis, Cutaneous"
8813,C01.703.160.175,"Candidiasis, Invasive"
8814,C01.703.160.175.150,Candidemia
8815,C01.703.160.180,"Candidiasis, Oral"
8816,C01.703.160.190,"Candidiasis, Vulvovaginal"
8817,C01.703.181,Central Nervous System Fungal Infections
8818,C01.703.181.500,"Meningitis, Fungal"
8819,C01.703.181.500.500,"Meningitis, Cryptococcal"
8820,C01.703.203,Coccidioidomycosis
8821,C01.703.248,Cryptococcosis
8822,C01.703.248.290,"Meningitis, Cryptococcal"
8823,C01.703.295,Dermatomycoses
8824,C01.703.295.055,Blastomycosis
8825,C01.703.295.165,"Candidiasis, Chronic Mucocutaneous"
8826,C01.703.295.170,"Candidiasis, Cutaneous"
8827,C01.703.295.182,Chromoblastomycosis
8828,C01.703.295.328,Hyalohyphomycosis
8829,C01.703.295.328.125,Alternariosis
8830,C01.703.295.328.375,Cerebral Phaeohyphomycosis
8831,C01.703.295.328.500,Fusariosis
8832,C01.703.295.475,Lobomycosis
8833,C01.703.295.522,Mycetoma
8834,C01.703.295.675,Sporotrichosis
8835,C01.703.295.872,Tinea
8836,C01.703.295.872.458,Onychomycosis
8837,C01.703.295.872.541,Tinea Capitis
8838,C01.703.295.872.541.500,Tinea Favosa
8839,C01.703.295.872.707,Tinea Pedis
8840,C01.703.295.936,Tinea Versicolor
8841,C01.703.343,"Eye Infections, Fungal"
8842,C01.703.343.900,"Uveitis, Suppurative"
8843,C01.703.343.900.675,Panophthalmitis
8844,C01.703.392,Geotrichosis
8845,C01.703.450,Histoplasmosis
8846,C01.703.492,Invasive Fungal Infections
8847,C01.703.492.500,"Candidiasis, Invasive"
8848,C01.703.492.500.150,Candidemia
8849,C01.703.492.625,Fungemia
8850,C01.703.492.625.150,Candidemia
8851,C01.703.492.688,Invasive Pulmonary Aspergillosis
8852,C01.703.492.750,Neuroaspergillosis
8853,C01.703.534,"Lung Diseases, Fungal"
8854,C01.703.534.395,Blastomycosis
8855,C01.703.534.700,"Pneumonia, Pneumocystis"
8856,C01.703.617,Microsporidiosis
8857,C01.703.617.300,Encephalitozoonosis
8858,C01.703.658,Otomycosis
8859,C01.703.700,Paracoccidioidomycosis
8860,C01.703.726,Phaeohyphomycosis
8861,C01.703.726.500,Cerebral Phaeohyphomycosis
8862,C01.703.753,Piedra
8863,C01.703.770,Pneumocystis Infections
8864,C01.703.770.700,"Pneumonia, Pneumocystis"
8865,C01.703.875,Trichosporonosis
8866,C01.703.980,Zygomycosis
8867,C01.703.980.600,Mucormycosis
