ncRNA Symbol,ncRNA Category,Species,Disease Name,Sample,Dysfunction Pattern,Validated Method,Description,Clinical Application,Causality,Causal Description,PubMed ID
FOXP4-AS1,LncRNA,Homo sapiens,Esophageal Squamous Cell Carcinoma, ESCC tissues and cell lines,Interaction(MLL2/H3K4me3/FOXP4),CCK8//qRT-PCR//Western Blot," Here, we demonstrated that FOXP4-AS1 was significantly increased in ESCC tissues and cell lines, associated with lymph node metastasis and TNM staging. The expression of FOXP4-AS1 and FOXP4 in ESCC tissues was positively correlated. Further research found that FOXP4-AS1, upregulated in ESCC, promotes FOXP4 expression by enriching MLL2 and H3K4me3 in the FOXP4 promoter through a “molecular scaffold”. Moreover, FOXP4, a transcription factor of β-catenin, promotes the transcription of β-catenin and ultimately leads to the malignant progression of ESCC. "," Here, we demonstrated that FOXP4-AS1 was significantly increased in ESCC tissues and cell lines, associated with lymph node metastasis and TNM staging. ",Yes,"Cell function experiments showed that FOXP4-AS1 promoted the proliferation, invasion and migration ability of ESCC cells. ",34970490
FOXP4-AS1,LncRNA,Homo sapiens,Colorectal Neoplasms,CRC cell lines and tissues,Interaction(miR-423-5p/NACC1 axis),CCK8//qRT-PCR//ChIP,"The results showed that FOXP4-AS1 was highly expressed in CRC cell lines and tissues. Furthermore, FOXP4-AS1 served as a molecular sponge for miR-423-5p, and NACC1 is a direct target of miR-423-5p. MiR-423-5p silencing or overexpression of NACC1 increased proliferation, migration, and invasion of HCT116 cells while suppressing apoptosis. We also found that the upregulation of FOXP4-AS1 was activated by ATF3 in CRC cells. Collectively, our results demonstrated that ATF3-activated FOXP4-AS1 aggravates CRC progression by regulating miR-423-5p/NACC1 axis, indicating a new target for CRC treatment.",,Yes, CRC progression was promoted by the overexpression of FOXP4-AS1 in HTC116 cells and animal models. ,35034547
FOXP4-AS1,LncRNA,Homo sapiens,"Thyroid Cancer, Papillary",PTC cells and tissues,Regulation( AKT signaling),qRT-PCR//Western Blot,"Patients in TCGA cohort with a higher FOXP4-AS1 expression showed a higher disease-free interval (DFI) rate, and the expression of FOXP4-AS1 is shown to be linked to the clinical stage, T stage, N stage, and extraglandular invasion condition of the TC patients. Mechanism analysis indicated that FOXP4-AS1 can play its functions by regulating the AKT signaling pathway, and AKT inhibitor treatment could attenuate the impact of FOXP4-AS1 on PTC progression. Furthermore, FOXP4-AS1 also negatively regulates the expression of its host gene FOXP4. Collectively, we showed that FOXP4-AS1 inhibited PTC progression although AKT signaling and FOXP4-AS1 plays a tumor-suppressor role in PTC tumorigenesis.","Patients in TCGA cohort with a higher FOXP4-AS1 expression showed a higher disease-free interval (DFI) rate, and the expression of FOXP4-AS1 is shown to be linked to the clinical stage, T stage, N stage, and extraglandular invasion condition of the TC patients. ",Yes," Functionally, upregulated FOXP4-AS1 inhibited PTC cell proliferation, apoptosis, and migration, whereas it downregulated FOXP4-AS1-promoted progression of PTC. In vivo assay also confirmed the tumor inhibitory effect of FOXP4-AS1 in PTC growth.",35720005
FOXP4-AS1,LncRNA,Homo sapiens,"Carcinoma, Hepatocellular", HCC tissues and cells,Regulation( ZC3H12D/H3K27me3/EZH2),qRT-PCR//Colony Formation Assay//Western Blot,FOXP4-AS1 and EZH2 expression and H3K27me3 abundance were enhanced while ZC3H12D expression was depressed in HCC tissues and cells. ,,Yes,Knockdown of FOXP4-AS1 suppressed biological functions of HCC cells as well as the weight and volume of HCC transplanted tumor. Depleting ZC3H12D reversed the effect of downregulated FOXP4-AS1 on HCC cells. FOXP4-AS1 suppressed ZC3H12D expression via mediating H3K27me3 by recruitment of EZH2.,34545456
FOXP4-AS1,LncRNA,Homo sapiens,"Carcinoma, Hepatocellular", HCC tissues,Expression(highly expressed),Wound Healing Assay//CCK8//qRT-PCR//Colony Formation Assay//Transwell Assay,"The expression of FOXP4-AS1 was higher in HCC tissues than adjacent nontumourous tissues, whereas the low expression of FOXP4-AS1 was correlated with optimistic treatment outcomes, which suggested that FOXP4-AS1 may be an independent prognostic biomarker for HCC.","The expression of FOXP4-AS1 was higher in HCC tissues than adjacent nontumourous tissues, whereas the low expression of FOXP4-AS1 was correlated with optimistic treatment outcomes, which suggested that FOXP4-AS1 may be an independent prognostic biomarker for HCC.",Yes,"Moreover, the downregulation of FOXP4-AS1 significantly reduced the cell proliferation and clonal abilities and inhibited the invasion, migration, and angiogenesis of hepatoma cells (P < 0.05).",33604387
FTX,LncRNA,Homo sapiens,Adenocarcinoma of Lung, LUAD cell lines,regulation[miR-335-5p/NUCB2 axis],Western Blot//Tunel//Flow Cytometry//qRT-PCR//Luciferase Report Assay//Colony Formation Assay//EdU Staining//Transwell Assay,RT-qPCR showed that FTX expression was up-regulated in LUAD cell lines.FTX played an oncogenic role in LUAD and contributed to cancer development via targeting miR-335-5p/NUCB2 axis.,,Yes,"Loss-of-function assay indicated that FTX accelerated cell proliferation, migration and invasion, while inhibited cell apoptosis in LUAD. ",32226311
FTX,LncRNA,Homo sapiens,Osteosarcoma,,regulation[miR-320a/TXNRD1],qRT-PCR//Luciferase Report Assay," QRT-PCR revealed that FTX and TXNRD1 were abnormally upregulated in OS, whereas miR-320a expression was significantly decreased. Taken all the experiment results together, this paper indicated that FTX impacted osteosarcoma cell proliferation and migration by modulating TXNRD1/miR-320a.",,Yes,"A series of functional experiments indicated that knockdown of FTX could suppress OS cell proliferation and migration, while facilitating apoptosis ability simultaneously. ",31920141
FOXD2-AS1,LncRNA,Homo sapiens,Glioma,glioma tissues,Regulation[miR-185-5P/HMGA2 axis and PI3K/AKT signaling pathway],Western Blot//Flow Cytometry//qRT-PCR//MTT//Luciferase Report Assay//Transwell Assay,"LncRNA FOXD2-AS1 was overexpressed in human glioma, and upregulated FOXD2-AS11 expression indicated higher WHO grade (p < 0.05).OXD2-AS1 could regulate the expression of HMGA2 via miR-185-5p.Knockdown of FOXD2-AS1 significantly inhibited proliferation and metastatic potential of glioma cells, whereas endogenous expression FOXD2-AS1 inhibited the glioma cell activity through targeting HMGA2.",,Yes,"Knockdown of FOXD2-AS1 significantly inhibited proliferation and metastatic potential of glioma cells, whereas endogenous expression FOXD2-AS1 inhibited the glioma cell activity through targeting HMGA2.",30860979
FTX,LncRNA,Homo sapiens,Osteosarcoma, osteosarcoma tissues and cell lines,regulation[miR-214-5p/SOX4 axis ],CCK8//qRT-PCR//Transwell Assay//Western Blot,"The expression levels of FTX were increased in osteosarcoma tissues and cell lines and negatively correlated with the expression levels of miR-214-5p. FTX could promote proliferation, invasion and inhibited apoptosis by regulating miR-214-5p/SOX4 axis in osteosarcoma, suggesting that FTX might be a potential target for osteosarcoma treatment.",,Yes, sh-FTX inhibited the growth and metastasis of osteosarcoma.,32821116
GACAT3,LncRNA,Homo sapiens,Urinary Bladder Neoplasms,bladder cancer tissues,Expression [highly expressed],qRT-PCR//ELISA,"The results demonstrated that GACAT3 was up-regulated in bladder cancer tissues than that in the paired normal tissues. Downregulation of GACAT3 increased p21, Bax, and E-cadherin expression and silencing these genes could eliminate the phenotypic changes induced by knockdown of GACAT3. ",,Yes," Inhibition of cell proliferation, increased apoptosis, and decreased motility were observed in T24 and 5637 cell lines transfected by CRISPR-Cas13 targeting GACAT3.",33537343
GACAT3,LncRNA,Homo sapiens,Glioma,glioma tissues and cell lines,Regulation[GACAT3/miR-3127-5p/ELAVL1 signaling  ],qRT-PCR,"Here, we found that GACAT3 level was aberrantly elevated in glioma tissues and cell lines. ",Higher GACAT3 expression predicted lower survival rate.,Yes,"Knockdown of GACAT3 suppressed the proliferation, colony formation, migration, and invasion but promoting apoptosis in glioma cells.",30317610
GACAT3,LncRNA,Homo sapiens,Liver Neoplasms,liver cancer tissues,Expression[highly expressed],Flow Cytometry//qRT-PCR//MTT//Transwell Assay,It was demonstrated that GACAT3 was upregulated in liver cancer tissues. ,,Yes,"The inhibition of GACAT3 decreased the ability of hepatoma cells to proliferate and migrate, and increased apoptosis of the cells. ",32266036
GACAT1,LncRNA,Homo sapiens,Breast Neoplasms,breast cancer tissues,interaction[targeting microRNA-875-3p],CCK8//qRT-PCR//Flow Cytometry,GACAT1 level was clearly enhanced in breast cancer tissues compared to that of the adjacent tissues.The mechanism may be through the regulation of the level of STON2 by adsorbing microRNA-875-3p.,,Yes,Upregulation of GACAT1 promoted the proliferation and cycle of breast cancer cells including MCF-7 and BCap-37. ,32194758
GACAT1,LncRNA,Homo sapiens,Squamous Cell Carcinoma of Head and Neck,cancer tissues and cell lines ,Interaction(miR-149),qRT-PCR//Western Blot,"GACAT1 was highly expressed in cancer tissues and cell lines of OSCC patients (P < 0.01), while miR-149 was low expressed (P < 0.01). LncRNA GACAT1 binds to miR-149 targeting. Knockdown of lncRNA GACAT1 and transfection with miR-149 inhibitor reversed the effect of GACAT1 silencing on OSCC cells. ",,Yes, The down-regulation of lncRNA GACAT1 inhibited the proliferation and migration of OSCC cells and promoted apoptosis and autophagy (P < 0.01). The transfection of miR-149 inhibitor had the opposite effect. ,34460438
GACAT1,LncRNA,Homo sapiens,"Carcinoma, Non-Small-Cell Lung",NSCLC tissues,interaction[sponging microRNA-422a],Western Blot//CCK8//qRT-PCR//Luciferase Report Assay//Cell Apoptosis Assay//Cell Cycle Assay,"The present study found that GACAT1 was overexpressed in NSCLC tissues and was associated with poor outcomes in patients with NSCLC. Taken together, these results revealed the novel role of the GACAT1/miR‑422a pathway in the progression of NSCLC cell lines, providing a possible therapeutic strategy for NSCLC treatment.",The present study found that GACAT1 was overexpressed in NSCLC tissues and was associated with poor outcomes in patients with NSCLC. ,Yes,"Functional experiments revealed that GACAT1 downregulation inhibited proliferation, induced apoptosis and cell cycle arrest of 2 NSCLC cell lines. ",33416153
GACAT1,LncRNA,Homo sapiens,tongue squamous cell carcinoma, TSCC samples and cell lines,Interaction(miR-149),qRT-PCR//Migration Assay," In this reference, we observed that GACAT1 was overexpressed in TSCC samples and cell lines. 25 TSCC specimens, GACAT1 expression was overexpressed in 18 patients (18/25, 72%) compared to non-tumour specimens. We observed that miR-149 expression was down-regulated in TSCC cell lines. Moreover, we observed that GACAT1 expression was negatively correlated with miR-149 expression. GACAT1 overexpression induced TSCC cell growth and migration via regulating miR-149 expression. ",,Yes,"Ectopic expression of GACAT1 induced cell growth and migration and promoted epithelial to mesenchymal transition in TSCC. In addition, ectopic expression of GACAT1 decreased miR-149 expression in SCC1 cell. ",34378327
GABPB1-AS1,LncRNA,Homo sapiens,Uterine Cervical Neoplasms,CC tissues and cell lines,regulation[miR-519e-5p/Notch2 axis],qRT-PCR,"We found that an lncRNA, named GABPB1-AS1, was significantly upregulated in HPV16-positive CC tissues and cell lines. Mechanistically, GABPB1-AS1 acted as a competing endogenous RNA (ceRNA) by sponging miR-519e-5p, resulting in the de-repression of its target gene Notch2 which is well known as an oncogene. Therefore, GABPB1-AS1 functioned as a tumor activator in CC pathogenesis by binding to miR-519e-5p and destroying its tumor suppressive function. "," GABPB1-AS1 expression in HPV16-positive CC tissues was positively associated with tumor size, lymph node metastasis, and FIGO stage.  High expression of GABPB1-AS1 was correlated with a poor prognosis for HPV16-positive CC patients.",Yes," Functionally, E6-induced GABPB1-AS1 overexpression facilitated CC cells proliferation and invasion in vitro and in vivo. ",32844486
GABPB1-AS1,LncRNA,Homo sapiens,Glioma,glioma tissues ,Interaction( MicroRNA-330/ZNF367/Cell Cycle Signaling Pathway),In Vivo Experiment//RNA Pull-Down//Western Blot//Invasion Assay//CCK8//qRT-PCR//Flow Cytometry//Luciferase Report Assay//IHC//Bioinformatics Analysis//Transwell Assay," GABPB1-AS1 was highly expressed in the glioma tissues and associated with advanced WHO grades. miR-330 was a target transcript of GABPB1-AS1. miR-330 inhibition restored the malignancy of glioma cells. miR-330 directly bound to ZNF367. ZNF367 was highly expressed in glioma tissues and positively correlated with GABPB1-AS1 expression, and it was relevant to the cell cycle signaling pathway. ",,Yes,GABPB1-AS1 knockdown reduced proliferation and invasiveness of glioma cells in vitro and in vivo. ,34276213
Gabarapl2,LncRNA,Mus musculus,Dry Eye Syndromes,DED mice,Regulation,In Vivo Experiment//qRT-PCR//RNA-seq//Bioinformatics Analysis,"Chrnb2, Gabarapl2, and Usp31 were thereby confirmed as the most significantly altered lncRNAs. Pathway analysis revealed that the neuroactive ligand-receptor interaction signaling pathway was the most enriched, followed by the calcium signaling pathway and cytokine-cytokine receptor interaction. ",,Yes,"Following treatment of Gabarapl2 siRNA and Chrnb2 siRNA, tumor necrosis factor-α (TNF-α), interleukin (IL)-1β, and IL-6 were significantly downregulated in the HCECs. ",34957168
FUT8-AS1,LncRNA,Homo sapiens,Melanoma,skin tissues,regulation[NRAS/MAPK Signaling],RNA Pull-Down//Western Blot//qRT-PCR//RIP//EdU Staining//Transwell Assay,"We further confirmed that FUT8-AS1 is downregulated in melanoma. In conclusion, these findings demonstrate that FUT8-AS1 exerts tumor suppressive roles in melanoma via regulating NF90/miR-145-5p/NRAS/MAPK signaling axis. ",,Yes,"Furthermore, in vivo functional assays demonstrated that FUT8-AS1 represses melanoma growth and metastasis.",34094894
FTX,LncRNA,Homo sapiens,Stomach Neoplasms,gastric cancer tissues,Regulation[miR-144/ZFX Axis],Western Blot//qRT-PCR//RIP//MTT//Luciferase Report Assay," Figure 1A shows that the expression of LncRNA-FTX in GC tissues was up-regulated compared with those in adjacent normal tissues (p < 0.05). We found that FTX promoted cell proliferation, migration, and invasion, as well as tumor growth, and this effect could latterly be attenuated by miR-144. ZFX attenuated the effects of FTX/miR-144 axis by sponging with miR-144.",,Yes," We found that FTX promoted cell proliferation, migration, and invasion, as well as tumor growth, and this effect could latterly be attenuated by miR-144. ",32021248
FTX,LncRNA,Homo sapiens,Stomach Neoplasms,tumor tissues,interaction[targeting miR-215],CCK8//qRT-PCR//Flow Cytometry//Western Blot," We found that the expression of FTX in tumor tissues of 71 GC patients was higher than that in paracancerous tissues, and the prognosis of patients with high FTX was poor. According to these results, this study revealed that the previously neglected FTX-miR2153p-SIVA1 regulatory axis for the regulation of gastric cancer progression, which may be a potential target for the treatment of gastric cancer."," We found that the expression of FTX in tumor tissues of 71 GC patients was higher than that in paracancerous tissues, and the prognosis of patients with high FTX was poor. ",Yes,Transferring overexpression plasmid of FTX into gastric cancer cells (MGC-803 and SGC-7901) promoted cell proliferation and the ratio of cells in G0-G1 phase was decreased. Transferring si-FTX to MGC-803 and SGC-7901 led to opposite results. ,32271421
FTX,LncRNA,Homo sapiens,Colorectal Neoplasms,CRC tissues and cell lines,regulation[miR-192-5p/EIF5A2 Axis],RNA Pull-Down//Flow Cytometry//qRT-PCR//MTT//Luciferase Report Assay//Transwell Assay," FTX was up-regulated in CRC tissues and cell lines, knockdown of FTX inhibited CRC cell proliferation, migration and invasion in vitro as well as suppressed CRC tumor growth in vivo.LncRNA FTX functioned as an oncogene to contribute to CRC progression by regulating miR-192-5p/EIF5A2 axis, providing a novel insight into the pathogenesis of CRC and a promising therapeutic target for CRC treatment.",,Yes," FTX was up-regulated in CRC tissues and cell lines, knockdown of FTX inhibited CRC cell proliferation, migration and invasion in vitro as well as suppressed CRC tumor growth in vivo.",32280242
FTX,LncRNA,Homo sapiens,Colorectal Neoplasms, CRC tissues and cells,Interaction(miRNA-590-5p/RBPJ Axis),qRT-PCR//Western Blot,"It was found that FTX was upregulated in CRC tissues and cells.  Meanwhile, miR-590-5p was the target of FTX, and RBPJ was the direct target of miR-590-5p. ",,Yes," Knockdown of FTX or overexpression of miR-590-5p can inhibit the proliferation, migration, and invasion of CRC cells. Besides, silencing of FTX could inhibit the expression of migration and invasion-related proteins in CRC cells. ",33389283
FTX,LncRNA,Homo sapiens,Colorectal Neoplasms,CRC tissues ,Interaction(miR-214-5p-JAG1 axis),qRT-PCR//Western Blot//IHC//FISH,"lncRNA FTX was found to be upregulated in CRC tissues by FISH. Mechanistically, lncRNA FTX sequestered miR-214-5p and thus released its repression on JAG1, driving the malignant progression of CRC.",,Yes,"The downregulation of endogenous lncRNA FTX expression inhibited CRC cell proliferation, migration, and invasion.",34733921
FTX,LncRNA,Homo sapiens,"Carcinoma, Renal Cell", RCC specimens and cell lines,Interaction(FTX/miR‑4429/UBE2C axis),CCK8//qRT-PCR//RNA-seq,"The results showed that lncRNA FTX and UBE2C were upregulated in RCC specimens and cell lines.The overexpression of lncRNA FTX in RCC cells upregulated UBE2C. Overall, the present study showed that lncRNA FTX was upregulated in RCC and could significantly promote the proliferative, migratory and invasive capacities, enhancing the viability and accelerating the cell cycle progression of RCC cells by exerting the miRNA sponge effect on miR‑4429 and thus upregulating UBE2C.",,Yes," In addition, the overexpression of lncRNA FTX promoted the cell viability and proliferative, migratory and invasive capacities of RCC cells and accelerated the cell cycle progression.",35866591
FOXP4-AS1,LncRNA,Homo sapiens,Uterine Cervical Neoplasms,CC cell lines,regulation[miR-136-5p/CBX4 Axis],qRT-PCR//Luciferase Report Assay,"We found FOXP4-AS1 expression was significantly higher in CC cell lines than in normal cell line. Mechanistically, we found FOXP4-AS1 acts as competing endogenous RNA (ceRNA) for microRNA-136-5p (miR-136-5p) to regulate chromobox 4 (CBX4) expression.",,Yes," Functionally, force FOXP4-AS1 expression increased CC cell proliferation, migration, and invasion, while FOXP4-AS1 knockdown caused opposite effects.",32256085
FOXP4-AS1,LncRNA,Homo sapiens,Prostatic Neoplasms,"prostate cancer tissues,cell lines",Regulation[FOXP4-AS1/FOXP4 axis],Western Blot//CCK8//qRT-PCR//FISH//RIP//Luciferase Report Assay//ChIP,"As expected, FOXP4-AS1 was expressed at a higher level in PCa samples compared to adjacent normal samples (Fig. ​(Fig.1c).1c). Consistently, the expression level of FOXP4-AS1 was found to be higher in PCa cell lines compared to human normal prostate epithelial cell RWPE-1 (Fig. ​(Fig.1f).1f). Collectively, we determined that PAX5-induced upregulation of FOXP4-AS1/FOXP4 axis promoted tumorigenesis of PCa.",,Yes,"Functionally, high FOXP4-AS1 level was associated with increased cell proliferation and decreased cell apoptosis, indicating that FOXP4-AS1 exerted oncogenic functions in the tumorigenesis of PCa. ",31209207
FOXP4-AS1,LncRNA,Homo sapiens,"Lymphoma, Mantle-Cell",blood,regulation[miR-423-5p/NACC1 pathway],CCK8//qRT-PCR//Transwell Assay,"Our results showed that FOXP4?AS1 expression was upregulated in MCL patients, and that the high expression of FOXP4?AS1 was correlated with the unfavorable prognosis of patients. In conclusion, FOXP4‑AS1 promotes MCL progression through the upregulation of NACC1 expression by inhibiting miR‑423‑5p. ","Our results showed that FOXP4?AS1 expression was upregulated in MCL patients, and that the high expression of FOXP4?AS1 was correlated with the unfavorable prognosis of patients. ",Yes,"Functionally, while FOXP4?AS1 downregulation inhibited proliferation, migration and invasion of MCL cells, FOXP4?AS1 overexpression had promotive effects on these cellular processes. ",33416160
FOXP4-AS1,LncRNA,Homo sapiens,"Sarcoma, Ewing",ES tissues,Expression(highly expressed),Western Blot//Migration Assay//qRT-PCR//Cell Proliferation Assay//Invasion Assay,"Herein, we established that FOXP4-AS1 was up-regulated in ES and this correlated with poor prognosis.","Herein, we established that FOXP4-AS1 was up-regulated in ES and this correlated with poor prognosis.",Yes,"On the contrary, up-regulation of FOXP4-AS1 promoted the growth, migration, as well as invasion of ES.",34765540
FOXD2‑AS1,LncRNA,Homo sapiens,Breast Neoplasms,"breast cancer tissues,cell lines",Regulation[FOXD2‑AS1/miR‑150‑5p/PFN2 axis],CCK8//qRT-PCR//Luciferase Report Assay//Flow Cytometry," In the present study, it was identified that FOXD2‑AS1 expression was upregulated in BC tissue, cell lines and sphere subpopulation. Downregulation of FOXD2‑AS1 decreased the percentage of CD44 antigen+/signal transducer CD24- in breast cancer stem cell (BCSC) cells, and decreased the expression of numerous stem factors, including Nanog, octamer‑binding transcription factor 4 (Oct4), and sex determining region Y‑box 2 (SOX2), and inhibited the epithelial‑mesenchymal transition process. FOXD2‑AS1 was identified to be primarily located in the cytoplasm. Using bioinformatics analysis, a reporter gene assay and reverse transcription‑polymerase chain reaction assays, it was demonstrated that microRNA (miR)‑150‑5p was able to bind directly with the 3'‑untranslated region of FOXD2‑AS1 and PFN2 mRNA. miR‑150‑5p mimics decreased the cell proliferation, migration and invasion of BC cells. FOXD2‑AS1 knockdown significantly inhibited the miR‑150‑5p inhibitor‑induced increase in Nanog, Oct4 and SOX2 expression. The miR‑150‑5p inhibitor‑induced increase in N‑cadherin, and decrease in E‑cadherin and vimentin was inhibited by FOXD2‑AS1 knockdown. Profilin 2 (PFN2) expression was significantly upregulated in BC tissues. Additionally, the abnormal upregulation of PFN2 was associated with poor prognosis in patients with BC. FOXD2‑AS1 and PFN2 expression was positively correlated. Collectively, the present results demonstrated the role of the FOXD2‑AS1/miR‑150‑5p/PFN2 axis in the development of BC, and provides novel targets for the treatment of BC, and potential biomarkers for diagnosis and prognosis of BC."," Additionally, the abnormal upregulation of FOXD2‑AS1 predicted poor prognosis in patients with BC.",Yes,"Furthermore, downregulation of FOXD2‑AS1 decreased cell proliferation, and migratory and invasive abilities in BC cells, and decreased the growth of transplanted tumors in vivo.",30628646
FOXD2‑AS1,LncRNA,Homo sapiens,Osteosarcoma,OS tissues and cell lines,Expression[highly expressed],Western Blot//CCK8//qRT-PCR//Flow Cytometry//FISH//EdU Staining//Transwell Assay,"Firstly, it was revealed that the expression levels of FOXD2‑AS1 were significantly upregulated in OS tissues and cells, compared with in adjacent tissues and normal cells, as determined using reverse transcription‑quantitative polymerase chain reaction.","Notably, the overall survival of patients with relatively high FOXD2‑AS1 expression in OS tissues was significantly lower than that of patients with relatively low expression, as determined using Kaplan‑Meier analysis.",Yes,"Knockdown of FOXD2‑AS1 inhibited the proliferation, migration and invasion of OS cells. ",31115575
FOXD2-AS1,LncRNA,Homo sapiens,Breast Neoplasms, cell lines,regulation[FOXD2-AS1/S100A1/Hippo axis ],Western Blot//Wound Healing Assay//CCK8//qRT-PCR//Transwell Assay," The results indicated that FOXD2?AS1 expression was upregulated in breast cancer cell lines, and that FOXD2?AS1 downregulation significantly inhibited the proliferation, migration and invasiveness of MCF?7 and MDA?MB?468 cells. On the whole, the findings of the present study suggest that the FOXD2‑AS1/S100A1/Hippo axis is involved in the tumorigenesis and progression of breast cancer. ",,Yes," The results indicated that FOXD2?AS1 expression was upregulated in breast cancer cell lines, and that FOXD2?AS1 downregulation significantly inhibited the proliferation, migration and invasiveness of MCF?7 and MDA?MB?468 cells.",32945354
FOXD2-AS1,LncRNA,Homo sapiens,Breast Neoplasms, breast cancer tissues and cells,Expression [highly expressed],Western Blot//Wound Healing Assay//CCK8//qRT-PCR//Cell Apoptosis Assay//Transwell Assay,lncRNA FOXD2-AS1 was upregulated in breast cancer tissues and cells and increased cell drug resistance to ADR. ,,Yes,"Downregulation of lncRNA FOXD2-AS1 inhibited invasion and migration of MCF-7/ADR cells, promoted apoptosis, increased chemosensitivity of MCF-7/ADR cells, and inhibited the activity of PI3K/AKT signaling pathway in MCF-7/ADR cells.",34873418
FOXD2-AS1,LncRNA,Homo sapiens,Esophageal Squamous Cell Carcinoma,ESCC samples and cell lines,Interaction( miR-204-3p),Western Blot//CCK8//qRT-PCR//Flow Cytometry//Luciferase Report Assay//Colony Formation Assay,"In our work, we found that lncRNA FOXD2 adjacent opposite strand RNA 1 (FOXD2-AS1) was significantly increased in clinical ESCC samples and cell lines. Through bioinformatics analysis and luciferase reporter assays, microRNA (miR)-204-3p was proved to be a target of FOXD2-AS1. We further confirmed that FOXD2-AS1 was the upstream inhibitor of miR-204-3p and the down-regulation of miR-204-3p reversed the repressive effects of low expression of FOXD2-AS1 on ESCC progression. In addition, inhibition of FOXD2-AS1 effectively suppressed the tumor growth.",,Yes,"In addition, inhibition of FOXD2-AS1 effectively suppressed the tumor growth.",35778646
FOXD2-AS1,LncRNA,Homo sapiens,Colorectal Neoplasms,CRC tissues,Regulation[miR-25-3p/Sema4C axis],qRT-PCR//Transwell Assay," In this study, we further confirmed the up-regulation of FOXD2-AS1 in CRC patients and showed that high FOXD2-AS1 level predicted poor survival.FOXD2-AS1 may regulate the miR-25-3p/Sema4C axis to promote the invasion and migration of CRC cells."," In this study, we further confirmed the up-regulation of FOXD2-AS1 in CRC patients and showed that high FOXD2-AS1 level predicted poor survival.",Yes,Transwell assay showed that FOXD2-AS1 and Sema4C over-expression led to the increased invasion and migration rates of CRC cells. ,31908535
FOXD2-AS1,LncRNA,Homo sapiens,Osteoarthritis,cartilage tissues,Interaction[sponging miR-27a-3p],qRT-PCR," In the present study, we showed FOXD2-AS1 expression was upregulated and positively associated with the severity of OA patients.  Mechanistically, we found that FOXD2-AS1 upregulated the expression level of TLR4 by sponging miR-27a-3p. In addition, we revealed that miR-27a-3p mimics could abolish the effects of FOXD2-AS1 overexpression on cell proliferation, inflammation, and ECM degradation in chondrocytes. Therefore, we demonstrated that FOXD2-AS1 could play a crucial role in the progression of OA, at least partially, by regulating miR-27a-3p/TLR4 axis.",,Yes,"FOXD2-AS1 overexpression induced cell proliferation, inflammation and extracellular matrix (ECM) degradation in chondrocytes. ",30945573
FOXD2-AS1,LncRNA,Homo sapiens,"Carcinoma, Hepatocellular",HCC tissues and cell lines,Regulation[Wnt/β-catenin signaling pathway],qRT-PCR,"Mechanistically, FOXD2-AS1 was found to be activated by the transcription factor EGR1. Furthermore, FOXD2-AS1 could activate the Wnt/β-catenin signaling pathway. The mechanism contributed to the interaction between FOXD2-AS1 and Wnt/β-catenin signaling pathway was analyzed. It was uncovered that FOXD2-AS1 enhanced the activity of Wnt/β-catenin signaling pathway by epigenetically silencing the inhibitor of Wnt/β-catenin signaling pathway (DKK1). Rescue assays demonstrated that DKK1 and Wnt/β-catenin signaling pathway involved in FOXD2-AS1-mediated HCC progression.",,Yes,"Functionally, silenced FOXD2-AS1 efficiently suppressed HCC progression by regulating cell proliferation, apoptosis, migration and epithelial-mesenchymal transition (EMT). ",30929558
FOXD2-AS1,LncRNA,Homo sapiens,"Carcinoma, Hepatocellular", hepatocellular carcinoma tissues,Regulation[MiR-185/AKT Axis],Western Blot//Wound Healing Assay//CCK8//Flow Cytometry//Luciferase Report Assay//Transwell Assay,"FOXD2-AS1 was significantly upregulation in hepatocellular carcinoma tissues.FOXD2-AS1 knockdown suppressed Bel-7401 cell biological activities (proliferation, invasion, and migration) with miR-185 overexpression and AKT depressing in cell expression.",,Yes,"FOXD2-AS1 knockdown suppressed Bel-7401 cell biological activities (proliferation, invasion, and migration) with miR-185 overexpression and AKT depressing in cell expression.",31841454
FOXD2-AS1,LncRNA,Homo sapiens,"Carcinoma, Hepatocellular","HCC tissues,cell lines",Interaction[silencing CDKN1B(p27) via EZH2],RNA Pull-Down//IHC//Western Blot//qRT-PCR//RIP//Cell Viability Assay//Cell Cycle Assay//Colony Formation Assay//ChIP,The data indicated that FOXD2-AS1 expression was increased in HCC specimens and cell lines.Our results revealed that FOXD2-AS1 could epigenetically silence CDKN1B by recruiting EZH2 to CDKN1B promoter region. Knocking down CDKN1B could restore the carcinogenic effect of FOXD2-AS1 on HCC. ,"Furthermore, aberrant expression was correlated with tumor number and tumor size in HCC patients. ",Yes," Silencing FOXD2-AS1 arrest cell cycle in the G0/G1 phase, inhibited colony formation, cell proliferation and suppressed the in vivo growth of subcutaneous tumors.",31004581
FOXD2-AS1,LncRNA,Homo sapiens,"Carcinoma, Hepatocellular",HCC cells,regulation[miR-206/MAP3K1 axis],RNA Pull-Down//Western Blot//CCK8//qRT-PCR//RIP//Luciferase Report Assay//EdU Staining//Transwell Assay,"We found that FOXD2-AS1 was significantly upregulated in HCC cells in comparison to normal human liver cells, LO2.  In conclusion, this work implies FOXD2-AS1 accelerates HCC progression through sponging miR-206 and regulating MAP3K1 expression.",,Yes,"Furthermore, the inhibition of FOXD2-AS1 repressed HCC cell proliferation, enhanced cell apoptosis, and restrained cell invasion and migration. ",32558350
